,Review text,Ratings
1248,Very good shuttleREAD MORE,5
1249,Quality was not good....READ MORE,1
1250,Super hitREAD MORE,5
1251,I got the bad quality one 😢READ MORE,3
1252,GreatREAD MORE,5
1253,good productREAD MORE,4
1254,NiceREAD MORE,5
1255,NycREAD MORE,1
1256,4 to 6 games only it will be new shuttle.. after that shuttle swinging irregularlyREAD MORE,3
1257,Worst quality... Shuttles are shaking while playing... Bad quality.READ MORE,1
1258,"Best in market, but durability is less.READ MORE",3
1259,Worst on recent times.We played new Ball today.Two balls bottom tape were gone within 2 hours.I attach with image.The last two delivery was only worst.We are intermediate players and playing doubles.A single ball can stand atleast two day but last two delivery whole 6 balls were damaged within 3 days.READ MORE,1
1260,Good QualityREAD MORE,5
1261,Quality of product is very good but speed is very high.READ MORE,4
1262,NiceREAD MORE,3
1263,Good productREAD MORE,5
1264,"All the shuttle bottom got broken, waste of money..READ MORE",1
1265,NiceREAD MORE,5
1266,good product value of moneyREAD MORE,5
1267,Not as good as per it's priceREAD MORE,1
1268,NiceREAD MORE,5
1269,Good and long lastingREAD MORE,5
1270,Worst product.it lasts only two days (each cork)READ MORE,1
1271,Not badREAD MORE,1
1272,Got few defective but then got replaced. Now these are very good to play.READ MORE,5
1273,Poor quality not byingREAD MORE,2
1274,GoodREAD MORE,5
1275,Best 👍👍👍👍READ MORE,5
1276,Worst qualityREAD MORE,1
1277,Nice shuttle for beginners to intermediate players. Very very good for practice.READ MORE,5
1278,Product not good...READ MORE,1
1279,Good QualityREAD MORE,5
1280,BestREAD MORE,5
1281,The quality was bad and it didn't lasted for even a month.READ MORE,1
1282,Nice productREAD MORE,5
1283,Quality is very poor...READ MORE,2
1284,Good productREAD MORE,5
1285,Bad productREAD MORE,1
1286,Much costlier in winter season.READ MORE,3
1287,Amazing shuttlesREAD MORE,5
1288,GoodREAD MORE,5
1289,NiceREAD MORE,5
1290,Awesome but price is very HighREAD MORE,5
1291,Too costly.Hardly lasts for a day.READ MORE,5
1292,ExcellentREAD MORE,5
1293,Very BadShuttle broke after 1 gameREAD MORE,2
1294,GoodREAD MORE,5
1295,Good shuttlecockREAD MORE,5
1296,You did wonderful jobREAD MORE,5
1297,Good productREAD MORE,5
1298,Very good productREAD MORE,4
1299,Good 👍👍👍READ MORE,5
1300,"Don't buy this , it was a worst purchase ever. Can't play more than one game with this shuttleREAD MORE",1
1301,👍🏸🏸 shuttlecock with nice and long durability .its value for money🤑🤑🏸🏸🏸READ MORE,5
1302,GoodREAD MORE,5
1303,Best shuttles for indoor gamesREAD MORE,5
1304,quality poorREAD MORE,1
1305,GoodREAD MORE,5
1306,Very good product without any confusionREAD MORE,5
1307,It's the s good qualityREAD MORE,5
1308,Quality of the product was too badREAD MORE,1
1309,Bad qualityREAD MORE,5
1310,Wonderful product 👍👍READ MORE,4
1311,GoodREAD MORE,5
1312,Good productREAD MORE,5
1313,Nice product. fast deliveryREAD MORE,4
1314,Very bad quality shuttle Torn the mesh only within 3gamesREAD MORE,1
1315,It was originalREAD MORE,5
1316,Genuine product performed as expectedREAD MORE,5
1317,full mostiREAD MORE,5
1318,Nice oneREAD MORE,5
1319,SuperREAD MORE,5
1320,Received the original product and it’s awesome.READ MORE,5
1321,GoodREAD MORE,5
1322,GoodREAD MORE,5
1323,OriginalREAD MORE,5
1324,Base of shuttle is very low quality.READ MORE,2
1325,Quality not goodREAD MORE,2
1326,Bad colourREAD MORE,2
1327,Good qualityREAD MORE,5
1328,Not expected that yonex sales such default shuttlesREAD MORE,1
1329,Orginal item goodREAD MORE,4
1330,Very good product One shuttle you have to play minimum ten gsmesREAD MORE,5
1331,BestREAD MORE,4
1332,"Really bad experience,,  some of them is very poor quality..  Don't go for itREAD MORE",2
1333,Super shuttleREAD MORE,5
1334,It's awesomeREAD MORE,4
1335,SupportREAD MORE,5
1336,Best shuttleREAD MORE,5
1337,Very bad quality and very high price not acceptable this range .READ MORE,3
1338,PerfectREAD MORE,5
1339,Nice productREAD MORE,5
1340,Very good product.READ MORE,4
1341,All shuttles were too bad. They are breaking easily after 3-4 gamesREAD MORE,1
1342,Quality of this  product purchased online is poor as compared to offline stores.👎🏼READ MORE,2
1343,Cork is slowREAD MORE,3
1344,Not DurableREAD MORE,3
1345,Long lasts than other nylon shuttleREAD MORE,5
1346,GoodREAD MORE,5
1347,Good 👍READ MORE,4
1348,ExcellentREAD MORE,5
1349,Genuine product and no used ones luckilyREAD MORE,5
1350,GoodREAD MORE,3
1351,Good jobREAD MORE,5
1352,Very bad qualityREAD MORE,5
1353,NiceREAD MORE,4
1354,GoodREAD MORE,5
1355,Thanks for delivery in timeREAD MORE,5
1356,GoodREAD MORE,5
1357,GoodREAD MORE,5
1358,It's niceREAD MORE,4
1359,NiceREAD MORE,5
1360,Great stuff♥️READ MORE,5
1361,Nice tqREAD MORE,5
1362,Long lastingREAD MORE,5
1363,Good product but his price is very high...READ MORE,5
1364,ExcellentREAD MORE,5
1365,NiceREAD MORE,5
1366,GoodREAD MORE,5
1367,NiceREAD MORE,5
1368,NiceREAD MORE,3
1369,An original yonex shuttle. Decent price as compared to the market. Durability is not that much. It would hardly last 6-7 matches at max. But the flight path is very predictable and is a very good option and more durable in comparison to the feather shuttle.READ MORE,4
1370,Mind blowingREAD MORE,5
1371,Didn't last long. Normaly one shuttle is good for 3 day but this one work for 1 day only. And every time shuttle got destroyed it always got broke from from part only.READ MORE,3
1372,Very good.READ MORE,5
1373,Good one I like itREAD MORE,5
1374,Very nice productsREAD MORE,5
1375,Got original productREAD MORE,5
1376,Little slow than normal shuttle.READ MORE,3
1377,Well brandREAD MORE,5
1378,Nice productREAD MORE,4
1379,This is my fourth order ...🥲🥲🥲 recieved 10 rupees shuttlesREAD MORE,5
1380,GoodREAD MORE,5
1381,Good qualityREAD MORE,4
1382,Good productREAD MORE,5
1383,Good productREAD MORE,5
1384,All got broken so soon.READ MORE,2
1385,Good quality 👍READ MORE,5
1386,Good quality. Delivered on time .READ MORE,4
1387,Good productREAD MORE,5
1388,Unlike my earlier purchases this is not even lasting for  2 days .READ MORE,2
1389,Low quality... don't buy online😖READ MORE,1
1390,Looks genuine with great qualityREAD MORE,5
1391,Good productREAD MORE,5
1392,Quality is very poor..READ MORE,2
1393,No goodREAD MORE,2
1394,SuperbREAD MORE,4
1395,GoodREAD MORE,3
1396,Good Product but Delivery is too late...READ MORE,3
1397,This is the original product. Buy with no hesitationREAD MORE,5
1398,Very nice and good quality service.....thanks flipkart and team.READ MORE,5
1399,Super ❤️READ MORE,4
1400,GoodREAD MORE,4
1401,FineREAD MORE,5
1402,Too goodREAD MORE,5
1403,Bad product..... Waste of money😡Don't buy this productREAD MORE,1
1404,Very nice product.. Delivered in only 1 day.. Super super super 👍👍👍READ MORE,5
1405,SuperREAD MORE,5
1406,Its good but slow moveREAD MORE,4
1407,SuperREAD MORE,5
1408,Good boyREAD MORE,5
1409,niceREAD MORE,5
1410,Very good qualityREAD MORE,4
1411,Original product.  Liked itREAD MORE,5
1412,Durability is very poor in compare with before...READ MORE,3
1413,GoodREAD MORE,4
1414,This easy to playREAD MORE,5
1415,NiceREAD MORE,5
1416,Good product. Original Yonex.READ MORE,5
1417,GoodREAD MORE,4
1418,As usual it's a good one. Its YonexREAD MORE,4
1419,BestREAD MORE,5
1420,nice shuttle for reasonable price. the flight doesnt alter much even after 6 or 7 games. far better than those purchased from local storesREAD MORE,5
1421,ExcellentREAD MORE,5
1422,Best shuttle for practiceREAD MORE,5
1423,Marvellous product.READ MORE,5
1424,Good oneREAD MORE,5
1425,Quality not goodREAD MORE,1
1426,SuperREAD MORE,5
1427,GoodREAD MORE,5
1428,GoodREAD MORE,5
1429,Awesome product 👍🏻READ MORE,5
1430,NiceREAD MORE,5
1431,poor QualityREAD MORE,1
1432,Product quantity to badREAD MORE,2
1433,GoodREAD MORE,5
1434,Nice productREAD MORE,4
1435,GoodREAD MORE,5
1436,NiceREAD MORE,5
1437,BestREAD MORE,4
1438,not goodREAD MORE,1
1439,Not that good ququalityREAD MORE,1
1440,SuperREAD MORE,4
1441,genuine product thank you flipkartREAD MORE,4
1442,I'm an intermediate player. The shuttle easily lasts for 10-15 games without any problem. Can be used for casual outdoor games.READ MORE,5
1443,Best!READ MORE,5
1444,Not badREAD MORE,3
1445,GREAT SELLER REPLACEMENT DELIVERY IN 2 daysREAD MORE,5
1446,Good QualityREAD MORE,4
1447,Nice qualityREAD MORE,5
1448,GoodREAD MORE,5
1449,"Instead of Mavis 350,I got Mavis 2000i.That product is also duplicate. I am quite frustrated. Please don't buy this product.READ MORE",1
1450,AverageREAD MORE,1
1451,Best qualityREAD MORE,5
1452,NiceREAD MORE,5
1453,Amazing priceREAD MORE,5
1454,"The product and pacaging is very good 👌, thank you flipkartREAD MORE",5
1455,AwesomeREAD MORE,5
1456,Very goodREAD MORE,5
1457,Not badREAD MORE,3
1458,ExcellentREAD MORE,5
1459,"Must buy , value for moneyREAD MORE",5
1460,ValuableREAD MORE,5
1461,SuperREAD MORE,5
1462,Iam order this cockes are quality is not good and speed is slow bad productREAD MORE,1
1463,Good oneREAD MORE,4
1464,Not good and bottom of corck damage early when we ply not sticky we believe Yonex but this was not  good productREAD MORE,3
1465,Very good goodREAD MORE,5
1466,Very good qualityREAD MORE,5
1467,WorthyREAD MORE,4
1468,Product is good.READ MORE,4
1469,Good productREAD MORE,4
1470,Nice packing  good qualityREAD MORE,5
1471,OkREAD MORE,5
1472,Nice productREAD MORE,4
1473,GoodREAD MORE,5
1474,Best badminton shuttle nothing is better than this product Just a little expensive but is the best !READ MORE,5
1475,The price of this product is highREAD MORE,3
1476,SuperbREAD MORE,4
1477,GoodREAD MORE,5
1478,Speed of the shuttle is not not as per standard Yonex Mavis 350?READ MORE,2
1479,Good qualityREAD MORE,5
1480,GoodREAD MORE,5
1481,Good you such definetely go for it 👍👍🤞READ MORE,5
1482,GoodREAD MORE,1
1483,Good ProductAwesome Delivery Nice Durability Highly Recommended 🥰🥰READ MORE,5
1484,Some shuttles are worst.READ MORE,3
1485,ExcellentREAD MORE,4
1486,BestREAD MORE,5
1487,Not badREAD MORE,4
1488,GoodREAD MORE,5
1489,GoodREAD MORE,5
1490,Very niceREAD MORE,4
1491,GodREAD MORE,5
1492,excellentREAD MORE,5
1493,This is perfectREAD MORE,5
1494,goodREAD MORE,5
1495,"I don't think it is Mavis 350, quality is badREAD MORE",2
1496,Very good qualityREAD MORE,5
1497,Excellent productREAD MORE,5
1498,Quality is not goodREAD MORE,2
1499,GoodREAD MORE,4
1500,Worst Quality.....READ MORE,1
1501,ok okREAD MORE,5
1502,Good one... Little more quality requiredREAD MORE,5
1503,GoodREAD MORE,4
1504,Perfect to playREAD MORE,5
1505,Tq okREAD MORE,5
1506,Genuine product.READ MORE,5
1507,Excellent balanceREAD MORE,5
1508,Too expensiveREAD MORE,1
1509,NiceREAD MORE,5
1510,Gud to playREAD MORE,5
1511,Value for money 💵 buy it again ☺️READ MORE,4
1512,Very..good product.. i really... impressedREAD MORE,5
1513,Superb corckREAD MORE,5
1514,GoodREAD MORE,5
1515,GoodREAD MORE,4
1516,We play 2 hours daily and none of this lasted a whole day. Poor quality .READ MORE,1
1517,SuperREAD MORE,5
1518,We use always this.super.READ MORE,5
1519,Nice 🙂READ MORE,3
1520,Not so bad and not so good.Average product .READ MORE,3
1521,niceREAD MORE,4
1522,Gods productREAD MORE,5
1523,Quality of the product is very good and it's quite genuine productREAD MORE,5
1524,Very good...Durable...READ MORE,5
1525,There is no one better than yonex MavisREAD MORE,5
1526,I m using mavis 350 since 5 years.. I would have given 5 stars but -1 star for condition of barrel received. However shuttles are in good condition as it is nylon.Delivery was good received the item within three days.READ MORE,4
1527,Bad packings shuttle complicatedREAD MORE,4
1528,GoodREAD MORE,4
1529,Original made in japanREAD MORE,5
1530,This is best for beginners and professionalREAD MORE,5
1531,Nice Product.READ MORE,5
1532,Super productREAD MORE,5
1533,MassiveREAD MORE,5
1534,NiceREAD MORE,4
1535,SuperREAD MORE,4
1536,Go for it without any second thoughtsREAD MORE,5
1537,This is not original Yonex Mavis 350. It is a useless cork with the look and branding of Yonex Mavis 350. It won’t last for more than 2 gamesREAD MORE,1
1538,goodREAD MORE,5
1539,excellentREAD MORE,5
1540,No need mention anything it's always the bestREAD MORE,5
1541,Excellent qualityREAD MORE,5
1542,Super Quality mind blowingREAD MORE,5
1543,Good shuttlesREAD MORE,5
1544,All the shuttle are so niceREAD MORE,5
1545,ExcellentREAD MORE,5
1546,Awesome must buyREAD MORE,5
1547,G9odREAD MORE,5
1548,Good quality ☺️READ MORE,5
1549,GoodREAD MORE,5
1550,The best productREAD MORE,5
1551,GoodREAD MORE,4
1552,"This is my 2nd purchase for same product Good shuttle as compared to othersI don't know but the mavis350 I bought from Flipkart is very very sturdy, nylon skirt gets ripped but cork doesn't get loose or came out of single shuttle and it's good for me We use those ripped shuttle for warm up👍READ MORE",5
1553,Good productREAD MORE,4
1554,"High durability, long lasting,READ MORE",4
1555,Long life and good qualityREAD MORE,4
1556,Good quality. Genuine product.READ MORE,5
1557,SuparREAD MORE,3
1558,SupperREAD MORE,5
1559,Nic oneREAD MORE,5
1560,GoodREAD MORE,5
1561,Product is good and worth of every penny.READ MORE,5
1562,goodREAD MORE,4
1563,For a player it's goodREAD MORE,5
1564,Super qulittREAD MORE,5
1565,NiceREAD MORE,5
1566,GoodREAD MORE,5
1567,NiceREAD MORE,5
1568,Good has company brandREAD MORE,4
1569,Value for moneyREAD MORE,5
1570,Shuttle is very good perfect for badminton playersREAD MORE,5
1571,Nice itemREAD MORE,5
1572,Good for playing shuttleREAD MORE,5
1573,GoodREAD MORE,5
1574,Superb for outdoor. Nice QualityREAD MORE,4
1575,NiceREAD MORE,5
1576,Value for money💯💯READ MORE,5
1577,Very nice shuttle and speedREAD MORE,5
1578,Good and durability is also goodREAD MORE,5
1579,GoodREAD MORE,5
1580,"Good,READ MORE",5
1581,Excellent shuttle for outdoor use. And can last for 2-3 daysREAD MORE,5
1582,GoodREAD MORE,4
1583,It is so goodREAD MORE,4
1584,GoodREAD MORE,4
1585,Good productREAD MORE,5
1586,Good productREAD MORE,5
1587,Original . Awesome. Love to FlipkartREAD MORE,5
1588,GudREAD MORE,5
1589,"Very good , but expensive . Try it.READ MORE",5
1590,NiceREAD MORE,5
1591,First time damage product and next time give the good product.READ MORE,3
1592,Great product😇READ MORE,5
1593,Awesome 👌READ MORE,5
1594,Worth for money good oneREAD MORE,4
1595,VEERY GOOD PRDUCTREAD MORE,5
1596,Perfect for indoor games..READ MORE,5
1597,Very Good Quality Provided By Flipkart!READ MORE,5
1598,Good product...READ MORE,5
1599,Good productREAD MORE,4
1600,Very goodREAD MORE,5
1601,ExcellentREAD MORE,5
1602,Shuttlecock quality is much more betterREAD MORE,5
1603,The shuttles areREAD MORE,2
1604,Perfect for intermediate level of playingREAD MORE,5
1605,Good product for yonex and good service for FlipkartREAD MORE,5
1606,It's good I really appreciateREAD MORE,5
1607,Excellent shuttle.....READ MORE,5
1608,Nice oneREAD MORE,4
1609,WorthyREAD MORE,5
1610,I am happyREAD MORE,5
1611,Kollam superREAD MORE,5
1612,Genuine product...thanks flipkartREAD MORE,5
1613,Very good productREAD MORE,5
1614,This time not good soREAD MORE,1
1615,Not worth for even single star.READ MORE,1
1616,Fine oneREAD MORE,4
1617,GoodREAD MORE,5
1618,Very poor QualityREAD MORE,1
1619,Quality was not good after playing one or two games the bottom came off the shuttle.READ MORE,1
1620,Very goodREAD MORE,5
1621,Quality not goodREAD MORE,2
1622,Good & original productREAD MORE,5
1623,Good qualityREAD MORE,5
1624,Excellent.READ MORE,5
1625,Very goodREAD MORE,5
1626,Bad product 🥴READ MORE,1
1627,NiceREAD MORE,4
1628,No one is like YonexREAD MORE,5
1629,Good build qualityREAD MORE,4
1630,GoodREAD MORE,4
1631,NiceREAD MORE,5
1632,"Not the original one which is made by Yonex company..look is completely same with the original product. it's very difficult to differentiate with original product.but when you play with this,you can feel the difference with original one.not lasting like original.good for beginners..READ MORE",3
1633,Gd productREAD MORE,5
1634,NiceREAD MORE,5
1635,Nice productREAD MORE,5
1636,SupebREAD MORE,4
1637,Very good 😊😊😊😊😊READ MORE,5
1638,ExcellentREAD MORE,5
1639,SuperREAD MORE,5
1640,Very cheap quality... Didn't least fir one gameREAD MORE,3
1641,This product is a very bad and totally changed.READ MORE,2
1642,NiceREAD MORE,4
1643,Good itemREAD MORE,5
1644,superREAD MORE,5
1645,Nice product u can go for it.. Packing was good overall genuine product worth for money.READ MORE,4
1646,Old productREAD MORE,3
1647,Worth of costREAD MORE,5
1648,GoodREAD MORE,5
1649,Best in mid range for daily useREAD MORE,5
1650,GoodREAD MORE,5
1651,Very nice product.READ MORE,4
1652,Nice product.READ MORE,4
1653,See getting mavis 350 in market is quite confused one with originality and it's transportation charge exceeds than our budget but flipkart made us so comfortable by providing highly original product with good packing and timy delivery.READ MORE,5
1654,ExcellentREAD MORE,5
1655,GoodREAD MORE,5
1656,Better qualityREAD MORE,5
1657,Good quality shuttles. Delivery is also fastREAD MORE,5
1658,Original shuttle ❤️🔥READ MORE,5
1659,Very goodREAD MORE,5
1660,Poor responsed from FlipkartREAD MORE,4
1661,Fantastic….READ MORE,5
1662,Very very disappoinment Flipkart...I ordered 2set of mavis 350 shuttle but 12 shuttles are very very poor quality... 1shuttle only for 2 gameVer very disappoinmentREAD MORE,1
1663,Nuber one qualittyREAD MORE,5
1664,SuperREAD MORE,5
1665,GoodREAD MORE,4
1666,Value for moneyREAD MORE,4
1667,Original product love it..READ MORE,5
1668,Good to see that what is described by Brand and seller are spot on..Ideal for beginners to Amateur players.READ MORE,5
1669,Good oneREAD MORE,4
1670,"Super,strongREAD MORE",5
1671,"Price is too much,But can't compare with otherREAD MORE",4
1672,GdREAD MORE,5
1673,Good productREAD MORE,5
1674,Quality is not goodREAD MORE,2
1675,GoodREAD MORE,5
1676,Worth to buyREAD MORE,5
1677,GoodREAD MORE,3
1678,Superb quality . Thanks alot to deliver guyREAD MORE,5
1679,Ok okREAD MORE,4
1680,Genuine and Original product by seller. Mavis 350 is slow and suited for Indian atmospheric conditions as per personal opinion.READ MORE,5
1681,Very good service. Fast deliveryREAD MORE,5
1682,SuperREAD MORE,5
1683,NiceREAD MORE,4
1684,Very niceREAD MORE,5
1685,GoodREAD MORE,4
1686,NiceREAD MORE,5
1687,ExcellentREAD MORE,5
1688,Good qualityREAD MORE,5
1689,Nice itemREAD MORE,5
1690,GoodREAD MORE,3
1691,The product was good and good for smashes but not good for drop.READ MORE,4
1692,Great product. Highly recommended for practice.READ MORE,5
1693,Price is higher than it's qualityREAD MORE,3
1694,GoodREAD MORE,5
1695,Nice oneREAD MORE,4
1696,Good qualityREAD MORE,4
1697,Good qualityREAD MORE,4
1698,GoodREAD MORE,5
1699,Nice Product.READ MORE,5
1700,Good productREAD MORE,5
1701,GoodREAD MORE,4
1702,Very goodREAD MORE,4
1703,Good to playREAD MORE,4
1704,Genuine best qualityREAD MORE,5
1705,SuperREAD MORE,4
1706,Good itemsREAD MORE,3
1707,GoodREAD MORE,5
1708,Waste of moneyREAD MORE,1
1709,Overall product is good except durability... It lasts only 3-4 days of heavy match...In this price range it's durability should be increased according to my opinion...READ MORE,4
1710,SuperREAD MORE,5
1711,Nice productREAD MORE,5
1712,GoodREAD MORE,5
1713,I am playing badminton from 2 years and I never use other shuttle than this and this shuttle is fabulous vREAD MORE,5
1714,GoodREAD MORE,5
1715,"The Shuttles are genuine, you can easily go for it.READ MORE",4
1716,Best haiREAD MORE,5
1717,Fantastic 👌👌👌READ MORE,5
1718,NiceREAD MORE,5
1719,OkREAD MORE,5
1720,SuperREAD MORE,5
1721,Cheapest and originalREAD MORE,5
1722,Two pieces got damaged in single match#totally waste of money #READ MORE,1
1723,OkayREAD MORE,4
1724,Very Good and long lasting. The flight of the shuttlecock I'd goodREAD MORE,4
1725,Poor qualityREAD MORE,1
1726,Nice FlowerREAD MORE,5
1727,GOODREAD MORE,5
1728,Quick delivery and genuine productREAD MORE,5
1729,Ball was not quite good. So don’t buy from them . I have bought more than 3 boxes . All three were not goodREAD MORE,2
1730,WastREAD MORE,2
1731,Nice productREAD MORE,5
1732,Loved itREAD MORE,5
1733,GoodREAD MORE,4
1734,Enjoyed playing with it.READ MORE,5
1735,Good productREAD MORE,5
1736,Yonex mavis 350 nylon shuttle best Quality 😍😍READ MORE,5
1737,ExcellentREAD MORE,5
1738,"Best product at this price , one cork last for upto 20 to 25 matches if u play prpoerly.READ MORE",4
1739,Superb nice productsREAD MORE,5
1740,Original productREAD MORE,5
1741,GoodREAD MORE,5
1742,Nice MAVIS350READ MORE,5
1743,Its goodREAD MORE,5
1744,Super productREAD MORE,5
1745,GoodREAD MORE,4
1746,GreatREAD MORE,5
1747,Good quality and long life. Hard to get a simalar shuttleREAD MORE,5
1748,"Quickly gone ,had to use new shuttle everyday (roughfly 6,7 games)READ MORE",3
1749,Good productREAD MORE,5
1750,The best in the market. Durable+ good path.READ MORE,5
1751,Very nice and long lasting shuttle. Recommended.READ MORE,5
1752,Classy game feel the strung sound wile hitting those corkzzz that's really awesomeREAD MORE,5
1753,"The Settle Mavis 350 given by you was very good and we got it more quickly according to it, thank you very much.READ MORE",4
1754,Very goodREAD MORE,5
1755,Genuine product and fk delivery super fastREAD MORE,5
1756,GoodREAD MORE,4
1757,NiceREAD MORE,5
1758,GoodREAD MORE,4
1759,Good oneREAD MORE,4
1760,Thank you❤❤❤❤❤READ MORE,3
1761,Thank you so much sir. For solving my problemREAD MORE,5
1762,SuperREAD MORE,5
1763,"Last two time delivered cork original quality but this time very low quality , i am very disappointedREAD MORE",1
1764,GoodREAD MORE,5
1765,Nice 👍👍READ MORE,4
1766,NormalREAD MORE,5
1767,GoodREAD MORE,5
1768,Need 10 tubes moreREAD MORE,5
1769,Recieved very bad quality product. Usually each shuttle last for some days but the entire box lasted for less than a week 😂. It's better to buy from shops.READ MORE,1
1770,So far good. Will update review after a monthREAD MORE,4
1771,must buy.READ MORE,5
1772,Nice shuttle for long run games… good for out door as wellREAD MORE,5
1773,The best shuttle.Using this shuttle for the past 2 years. So I recommend it. After trying many shuttle found out that is is the best one. Long lasting. durable.READ MORE,5
1774,GoodREAD MORE,4
1775,"Excellent flight, perfect for daily practiceREAD MORE",5
1776,GoodREAD MORE,5
1777,It is good productREAD MORE,5
1778,Ok goodREAD MORE,5
1779,ExcellentREAD MORE,5
1780,Good shuttle and fast delivery by Flipkart.READ MORE,4
1781,"Shuttle was of poor quality, getting damaged to soon..I doubt it's duplicateREAD MORE",3
1782,Superb shuttle....❤️READ MORE,5
1783,NiceREAD MORE,4
1784,everything is fine with this shuttlecock except its durabilityREAD MORE,4
1785,Wow...fantastic....thanks flipkart.READ MORE,5
1786,Vvvv goodREAD MORE,5
1787,Super quality..READ MORE,5
1788,Didn't expected this quality of product . The quality of each shuttle is similar to a 5rupees shuttle. Even didn't refunded the money. Wastage of money.READ MORE,1
1789,"Quality and durability is very low(not even 5 matches it withstood) when compared for this, i guess they have provided old stock for me!! Here there is a problem which is new stock and whch are old stockREAD MORE",2
1790,Nice shuttleREAD MORE,5
1791,GoodREAD MORE,5
1792,Item as described..READ MORE,5
1793,Not goodREAD MORE,3
1794,Satisfied.READ MORE,5
1795,Good productREAD MORE,5
1796,Very good qualityREAD MORE,5
1797,AwesomeREAD MORE,5
1798,GoodREAD MORE,5
1799,Good 👍🏻READ MORE,4
1800,It's okREAD MORE,3
1801,Best shuttle go for it 🤗READ MORE,5
1802,Nice productREAD MORE,5
1803,Awesome purchase..👍👍👍👍💥💥💥READ MORE,5
1804,Nice product totally slowREAD MORE,5
1805,Good productREAD MORE,5
1806,NiceREAD MORE,5
1807,GoodREAD MORE,4
1808,"Few shuttles are way faster within few knocks, but overall seems better. Not sure if authenticity of the shuttles. Price could have been little lesserREAD MORE",4
1809,FantastickREAD MORE,4
1810,SupperREAD MORE,5
1811,"Got real item in 2 chance , after replacement.READ MORE",3
1812,Price too highREAD MORE,1
1813,Corck need be better it has lot of small holesREAD MORE,3
1814,GoodREAD MORE,4
1815,Good qualityREAD MORE,3
1816,Wery good productREAD MORE,5
1817,Super Item...READ MORE,5
1818,Good product quality 👍READ MORE,5
1819,It's Durable. One Shuttle lasts for more than 2 weeks. Since I'm at Intermediate. It's lasts long than usual.READ MORE,5
1820,Very good and durable shuttle!READ MORE,5
1821,Super good qulityREAD MORE,5
1822,goodREAD MORE,4
1823,Absolutely amazing product... Great for beginners One shuttle almost last for 2 daysREAD MORE,5
1824,Nice productsREAD MORE,5
1825,superb product from flipkartREAD MORE,4
1826,SuperREAD MORE,5
1827,WaoooooVery NiceReally I like it's 👌👌👍READ MORE,5
1828,OkayREAD MORE,3
1829,Nice as expectedREAD MORE,5
1830,Good qualityREAD MORE,5
1831,Terrible experience the shuttle have not even lasted for 6 straight gamesREAD MORE,2
1832,Worth for money. Buy it from online only because outside it may be costly .READ MORE,5
1833,NiceREAD MORE,5
1834,Worst quality i have ever buy  .....it Dancing while flying....Very disappointedREAD MORE,2
1835,Nice productREAD MORE,3
1836,The price is terribly highREAD MORE,3
1837,Superb very nice oneValue for moneyREAD MORE,4
1838,Nothing to say about it...bt we have  doubts is it original yonex bcz coke life is shortREAD MORE,4
1839,Nice this productREAD MORE,5
1840,GOODREAD MORE,4
1841,Very good productREAD MORE,5
1842,Nice shuttle for advance players... Thanks FlipkartREAD MORE,5
1843,Low quality.READ MORE,1
1844,very nice and expected productREAD MORE,5
1845,GoodREAD MORE,5
1846,Geniuen product to buy Thanks to Flipkart and YonexREAD MORE,5
1847,GoodREAD MORE,5
1848,Thanku flipkart👍👍👍👍READ MORE,4
1849,NiceREAD MORE,5
1850,Good qualityREAD MORE,5
1851,SuperREAD MORE,5
1852,Good oneREAD MORE,5
1853,Go for it😏😏READ MORE,5
1854,Trustworthy seller.READ MORE,5
1855,ExcellentREAD MORE,5
1856,Good  qualityREAD MORE,5
1857,Thank you flipkart.READ MORE,3
1858,GoodREAD MORE,5
1859,"The product was as aspected , it was greatREAD MORE",5
1860,Mavis 350 beat options all shuttle level playersREAD MORE,5
1861,Good product....READ MORE,5
1862,"Awesome,must buyREAD MORE",5
1863,Good productREAD MORE,5
1864,ExcellentREAD MORE,1
1865,Good product at discounted price I got it at 850READ MORE,5
1866,Simply awesomeREAD MORE,5
1867,GudREAD MORE,5
1868,Good Product.READ MORE,5
1869,Nice product 🤩🤩but price is too high😞READ MORE,5
1870,Very nice.READ MORE,5
1871,PerfectREAD MORE,5
1872,ExcellentREAD MORE,5
1873,SuperREAD MORE,5
1874,amazing cocREAD MORE,5
1875,Nice workREAD MORE,5
1876,NiceREAD MORE,5
1877,Very niceREAD MORE,5
1878,"Good Product, Same as bought from shopsREAD MORE",5
1879,GoodREAD MORE,4
1880,Nice product and delivered ontime.READ MORE,3
1881,"On time , good deliveryREAD MORE",4
1882,Price so highREAD MORE,4
1883,Nice oneREAD MORE,4
1884,Por qualityREAD MORE,1
1885,"Good quality shuttle , , good for begineer and intermediate players.... one shuttle will last more than 3 days no matter how extreme you play with net or without net in local style..READ MORE",4
1886,Useless Shuttle cant play one single game with one shuttle. I recommend all of you not to waste your money in this westeless shuttle. Never buy this. Price is high and Quality is very low.READ MORE,1
1887,Copy productREAD MORE,1
1888,Good productREAD MORE,5
1889,GoodREAD MORE,5
1890,NiceREAD MORE,4
1891,Brand is good but i do not know how this packet not good Worse quality has givenREAD MORE,2
1892,Price too highREAD MORE,3
1893,Price too highREAD MORE,3
1894,GreatREAD MORE,5
1895,Not Good 😭😭READ MORE,1
1896,Super 👍👍READ MORE,4
1897,Really niceREAD MORE,5
1898,Good ProductREAD MORE,5
